Unnamed: 0,Date,Open,High,Low,Close,Shares Traded,Turnover (Rs. Cr)
0,13-Jun-2016,8102.25,8125.25,8063.9,8110.6,174916286,7343.99
1,14-Jun-2016,8134.4,8134.95,8069.5,8108.85,150042362,6003.23
2,15-Jun-2016,8139.4,8213.2,8123.15,8206.6,174953935,6945.89
3,16-Jun-2016,8180.65,8180.65,8074.45,8140.75,195028743,7764.57
4,17-Jun-2016,8176.65,8195.25,8135.8,8170.2,171842760,7741.9
5,20-Jun-2016,8115.75,8244.15,8107.35,8238.5,173750792,7392.97
6,21-Jun-2016,8255.4,8257.25,8202.15,8219.9,141161921,5978.26
7,22-Jun-2016,8213.65,8238.35,8153.25,8203.7,140268297,6377.69
8,23-Jun-2016,8201.15,8285.6,8188.3,8270.45,158852677,6805.86
9,24-Jun-2016,8029.1,8100.7,7927.05,8088.6,306803641,13263.08
10,27-Jun-2016,8039.35,8120.65,8039.35,8094.7,167462711,7614.06
11,28-Jun-2016,8096.05,8146.35,8086.85,8127.85,175724276,7777.39
12,29-Jun-2016,8173.1,8212.4,8157.65,8204.0,151499716,6940.87
13,30-Jun-2016,8260.25,8308.15,8242.1,8287.75,288031935,12346.32
14,01-Jul-2016,8313.05,8356.75,8308.65,8328.35,170581881,7358.38
15,04-Jul-2016,8376.75,8398.45,8364.7,8370.7,158955823,6662.92
16,05-Jul-2016,8379.3,8381.45,8319.95,8335.95,143253937,5976.01
17,07-Jul-2016,8342.0,8361.95,8317.7,8337.9,160327315,7592.94
18,08-Jul-2016,8350.0,8353.3,8287.55,8323.2,142159935,6886.33
19,11-Jul-2016,8413.35,8475.25,8407.05,8467.9,154399933,7576.69
20,12-Jul-2016,8502.6,8526.6,8479.2,8521.05,189339750,7873.74
21,13-Jul-2016,8540.45,8550.25,8493.55,8519.5,201492184,8284.38
22,14-Jul-2016,8515.75,8571.4,8500.7,8565.0,158738499,6890.07
23,15-Jul-2016,8565.45,8594.8,8510.05,8541.4,228598684,12375.84
24,18-Jul-2016,8564.05,8587.1,8494.35,8508.7,169400452,8200.06
25,19-Jul-2016,8514.3,8540.05,8476.7,8528.55,173050805,7928.14
26,20-Jul-2016,8515.45,8569.9,8512.55,8565.85,165349380,7936.36
27,21-Jul-2016,8582.7,8585.25,8503.45,8510.1,154575685,7399.71
28,22-Jul-2016,8519.65,8548.95,8489.8,8541.2,147619642,6504.0
29,25-Jul-2016,8519.95,8641.15,8517.2,8635.65,154631398,7850.12
30,26-Jul-2016,8633.75,8644.9,8577.15,8590.65,159563469,8765.45
31,27-Jul-2016,8599.4,8665.0,8572.05,8615.8,189796380,10885.88
32,28-Jul-2016,8636.95,8674.7,8625.25,8666.3,240721865,12998.06
33,29-Jul-2016,8668.3,8670.35,8631.15,8638.5,161935155,8428.8
34,01-Aug-2016,8654.3,8711.3,8590.5,8636.55,194186858,9881.67
35,02-Aug-2016,8647.45,8687.2,8611.4,8622.9,174556789,8652.31
36,03-Aug-2016,8635.2,8635.45,8529.6,8544.85,168033073,8507.82
37,04-Aug-2016,8599.95,8601.4,8518.15,8551.1,169780463,7399.03
38,05-Aug-2016,8600.2,8689.4,8590.15,8683.15,162784913,7635.01
39,08-Aug-2016,8712.85,8723.5,8697.6,8711.35,177877012,7862.15
40,09-Aug-2016,8727.8,8728.35,8638.2,8678.25,206261255,9111.4
41,10-Aug-2016,8686.7,8690.1,8564.6,8575.3,178963496,8206.18
42,11-Aug-2016,8572.8,8601.15,8540.05,8592.15,195114539,8634.8
43,12-Aug-2016,8605.45,8684.3,8604.45,8672.15,272014034,11998.86
44,16-Aug-2016,8670.25,8682.35,8600.45,8642.55,231771409,10937.35
45,17-Aug-2016,8639.8,8667.1,8603.6,8624.05,179540691,8161.38
46,18-Aug-2016,8648.85,8690.7,8645.05,8673.25,169431656,7900.6
47,19-Aug-2016,8694.3,8696.6,8647.1,8666.9,197770568,8354.88
48,22-Aug-2016,8667.0,8684.85,8614.0,8629.15,156976546,7394.57
